,Fact ID
128,6239-5408-630b-6f9d
129,5471-05b0-00bd-1669
130,fdf7-4e8f-a5ef-1fcd
131,eccc-ccef-2b84-af94
132,c284-c764-7abd-4e68
133,5de7-6e05-8a99-8d54
134,298a-b710-adc5-7d76
135,8bd2-dcf4-9b89-5e77
136,3f61-74b3-1327-f313
137,b94c-5bde-8d46-29de
138,dcd7-6da5-3ef6-3998
139,95a8-f71f-4e81-3332
140,4499-c264-9f56-7549
141,24ab-b403-fcec-d327
142,5271-6a22-214e-2847
143,70b7-f5bc-ff13-10f9
144,8735-9116-c537-0768
145,6528-a45c-1abe-2e52
146,7058-f855-3d78-7d7f
147,e286-2d36-370a-0d17
148,44d8-65f9-148f-b060
149,512a-c5ef-bcba-905d
150,3518-79e5-2f89-2bc0
151,2b35-626a-8c37-2225
152,e2c1-2bf2-b9f6-97b9
153,34b1-1886-e578-7fe0
154,d9c0-ee98-aa9a-5134
155,5cff-bf38-1231-2838
156,cfd6-1d2a-381a-2ff1
157,457f-3767-5871-6ec8
158,4946-32e7-a9ee-d5ed
159,9a54-fdc1-b863-633a
160,5949-8ca0-0ddf-811b
161,e9e1-2164-9acf-637a
162,86ed-0d8e-531e-34e3
163,b161-e6d7-f3ae-64bf
164,b7ef-37ee-c098-3cab
165,e58f-43aa-6175-9492
166,a65f-d177-962c-f0fe
167,08a9-b262-9252-9125
168,3141-c707-066a-00e2
169,af78-4cfe-072e-5e89
170,3547-7689-fb87-ee96
171,edcd-ed33-4439-04cb
172,c1b8-cab4-eb78-9161
173,a4a0-25e7-ae9c-5654
174,efcb-faab-cd79-cd07
175,6aa0-5875-fa94-91e5
176,7762-fb32-6a1f-62ec
177,8958-fc28-d9ce-a1d6
178,0514-7919-c1bf-6188
179,900a-fda3-7a86-85db
180,6835-a29c-ba48-1fb7
181,be64-4c22-3323-47e2
182,99ef-2926-54b2-c22f
183,54ff-9d51-da43-e4f9
184,e58b-6fd8-4321-1a69
185,4637-2b52-badf-1d50
186,866e-9867-c534-141c
187,4d6a-b157-9fbe-589d
188,178a-9dd1-8569-86f1
189,23a8-e177-f667-e30f
190,40c7-9325-944b-d06d
191,e060-5559-9564-4cf4
192,b492-a3a6-e0aa-0ea9
193,fa81-4952-705a-d338
194,4a90-d4de-70aa-2e38
195,42cd-f6a8-2bbb-3df6
196,a423-40e8-3886-4df5
197,a6a9-3e1b-7e02-ce06
198,255a-a3ea-7373-252b
199,fdca-4f63-cab2-1b60
200,0bc0-292e-ad9a-9017
201,1d87-acba-1519-cd97
202,e044-428c-b438-7117
203,2d7b-fad0-6961-de51
204,a7ec-4506-0e8a-ce2e
205,902d-2137-8776-7a13
206,c097-1dcb-a31f-8800
207,27bb-0f7f-8143-a8d1
208,6b85-a565-613d-eac0
209,3aef-09ab-a751-dd44
210,be10-2687-bb9c-5186
211,5524-96d8-a5d8-f0ce
212,f54e-16f3-fa07-0bb6
213,1bfc-e1e3-9ffc-9f57
214,0d00-93f4-5616-0efc
215,6891-0161-c8a9-b8c1
216,c6fe-fa08-c304-093d
217,2a41-18d2-9149-55f5
218,b150-d213-b73e-de9d
219,1fb7-aefd-cae4-eba8
220,2e43-6a8c-1231-65f1
221,ec15-e4f0-40a4-c40e
222,1975-c17f-560c-aa4c
223,f06d-9af1-c14f-fb25
224,2f5b-92ef-b906-5fc4
225,e303-f8e1-4293-664d
226,7c13-177b-1402-1e61
227,38e7-c5c0-194b-1ed6
228,e35c-e251-2993-ac25
229,123d-9df4-bf21-0c14
230,8ed5-51e7-540b-87a2
231,7b20-0992-8ec1-c73c
232,b462-24cc-7651-6d33
233,3944-665a-cd65-c185
234,9f6b-7d55-4edf-3f0b
235,d28e-0ebd-8be3-a9d7
236,f63b-aef7-81b2-c372
237,9bdc-0291-3f7e-751d
238,07b2-9ecc-9cbf-916e
239,592f-eeca-3145-0e73
240,606d-9382-a8e0-7000
241,30c3-cdda-8d6b-d470
242,7fb4-c254-3d90-1dad
243,a54c-e068-073d-def8
244,b267-35c1-c2c8-f1f0
245,1416-bcaa-70fb-f51b
246,4f6f-b06b-3c90-bbbd
247,efd2-9d11-3f32-24cc
248,c083-9545-9c5e-f943
249,cbd8-e54c-3cb6-1a48
250,6a7c-945a-f6fc-9043
251,6987-1a5d-58e9-399d
252,24ac-6c7a-db37-64ad
253,4c74-590e-8dfe-012b
254,46c5-1cb0-c4c3-4a30
255,6433-f2de-3946-945e
256,1910-6fcf-a49a-634a
257,8ec7-a491-c4e5-aeec
258,b39a-5a6f-9af1-b3de
259,a12e-4e1e-756a-6e49
260,5961-40f8-e1b9-e456
261,3678-1c03-c983-ba31
262,68c7-53c9-4730-b283
263,fedb-a67f-5daf-3a1d
264,b877-a58b-f75a-3998
265,7f16-3900-214b-cfcc
266,6081-1b3a-dd4e-4611
267,8b17-5532-4eed-68b0
268,75c9-ca95-9505-7f16
269,fc96-f0ff-1c18-337e
270,78d4-18c9-9484-0154
271,6089-585e-73e5-ebd5
272,5be6-58b4-ec52-40b2
273,e565-87e6-6f00-1598
274,ac73-12b7-56aa-d852
275,e9ed-3032-6736-3077
276,6641-7122-bf62-0870
277,904b-3cbd-8469-b307
278,ea27-c3fc-7c64-eeb2
279,a8c6-3b66-4842-24bc
280,2edb-1e09-a137-4362
281,5deb-bf64-c55b-92ee
282,d02c-a651-7238-c2f5
283,fa71-3061-1c31-cead
284,84b9-648a-eadf-eaf7
285,2827-1a44-52ad-a63e
286,3125-5f0b-0b90-0577
287,d54a-daf9-1853-05ac
288,379e-4bd0-e3d5-5a1a
289,4cdf-2f38-c2ff-daa9
290,b964-cdbd-a226-4027
291,0c4a-5373-ba1c-b533
292,599c-ede6-83d2-982c
293,a41a-a127-f2d9-ec5e
294,11e0-b0f3-137d-951c
295,7975-13c2-aeb2-5a9a
296,b665-c869-0fbf-4c19
297,4ee7-8c52-99b5-7674
298,a224-d742-be36-390f
299,3cac-554a-3149-cd7b
300,68ad-c11b-2981-9be0
301,9d72-710b-d88f-44ef
302,b301-6de7-7042-2581
303,ff5e-bb4f-4d6f-449d
304,e357-f8b5-992c-2d25
305,b5e7-965c-c67f-f9d9
306,4ed1-58db-05c6-ad49
307,4be0-3791-43d4-1cad
308,50c2-119a-8445-c8b7
309,69c1-2991-2421-ce63
310,1b2f-e95c-68f1-e31e
311,fbee-1879-a1dc-7106
312,02c3-9c98-38d9-3711
313,292e-d25a-73fe-1e95
314,0323-62a6-1a45-17a9
315,e25c-9d2e-a369-8e52
316,8a35-c04c-91c8-dfde
317,27ac-0696-3449-6bd2
318,2460-c937-4e53-293a
319,93d7-72a4-18fe-e1fe
320,36ff-8e28-fa84-d964
321,b6b5-6397-aa43-e453
322,0be5-a05c-01aa-32ac
323,0671-af0e-d6f3-eacf
324,9d19-224c-847b-a622
325,2ebb-fce7-3fb0-eb17
326,6384-7501-43b6-e41a
327,39b0-5f60-9b23-8892
328,959a-ab9a-2217-9fac
329,6a1a-d4cc-de02-eac6
330,01ef-1f36-abd7-9217
331,cece-3536-a959-42af
332,c69d-96c7-e62a-386e
333,2511-f015-94c8-0157
334,6612-fa0b-cd41-ce24
335,cb96-769c-11e6-aae2
336,5779-3c33-cd1f-22be
337,ed92-709e-064a-3e70
338,a51e-df49-f23e-45ec
339,756b-72db-cc1e-b66e
340,eec9-c91d-1212-9891
341,8e36-e48b-2059-4d7e
342,0f01-9270-d298-1254
343,f9cb-c2e7-8639-5591
344,3c44-d616-941a-c427
345,3ec5-18c6-fd99-2d5e
346,255c-ea3b-7584-7dc9
347,fba1-b7e2-ae8b-6182
348,f1c8-91e3-fc1f-078b
349,010a-f960-ad4b-537c
350,8a39-22a9-a288-6c9c
351,c989-b804-971a-ebd4
352,825b-a440-75bd-3001
353,544b-9b49-3946-c353
354,e555-8a18-84d7-15d1
355,86e5-19ca-feae-6f08
356,fecb-89ad-bb4e-7a8b
357,5802-cde2-4ed8-839e
358,1e78-ceed-2d2f-4125
359,32e0-8371-00dd-9561
360,59ad-9f17-fe18-43c6
361,beff-ff71-8de4-ab6c
362,b817-9d94-9032-10f0
363,1f6c-e898-01cc-8759
364,c35b-86e7-6f3d-d01c
365,dcb0-11ec-8b50-ceb3
366,d3e8-b460-93fe-7706
367,6b27-6dff-3eef-6ffc
368,c273-0baf-3d52-6fa4
369,b0b1-0707-d918-1442
370,a06c-56a9-7090-ec00
371,1510-dba6-1988-692c
372,281d-889f-2ea8-3c89
373,3313-e8a9-cf21-6a33
374,f8e4-1af3-719b-20eb
375,bf2e-54e3-170e-d241
376,f4f1-8d09-36bb-8db5
377,cf3b-d6fc-6b3d-87d4
378,72b4-027a-430e-ee18
379,54f0-f2ea-baa5-7a2f
380,68ec-4e68-cb4d-7da1
381,26a1-44de-dc7d-c9ee
382,7001-a06c-e3fe-2d35
383,4a3d-dad2-2823-ee64
384,de7c-3854-da13-7105
385,5951-c5bc-d3b9-c818
386,90b4-16bc-47b4-a337
387,dd66-f128-9920-883e
388,c9e0-141e-88fa-2c43
389,49e7-9112-fe19-cbb8
390,47ce-3a56-5343-bea8
391,e973-4320-00d7-da10
392,fa55-09d9-2afb-4929
393,df49-3285-6193-e5f5
394,b614-101e-c03f-d0d0
395,d96c-96eb-3824-be66
396,95d6-33c8-ca3e-3bd5
397,cffe-8f3b-871e-9cfe
398,7223-ce74-ece2-36f8
399,372c-33f0-9c33-ca83
400,9ba0-2d10-5992-46f5
401,720a-4826-a639-3a9b
402,7dad-ddaa-4996-88bd
403,c354-6c73-928e-5ec5
404,9594-772c-6b34-f71e
405,e03e-ee31-4d99-c0fe
406,bf46-dc46-bf5c-abf5
407,62fc-9a63-27db-7b46
408,8fca-6905-ae31-51ce
409,0f2d-b1e3-27a6-75b9
410,d662-f8eb-acab-099f
411,1868-70f2-364b-04e1
412,1876-6b7a-984c-60e2
413,99b9-04cf-f952-473a
414,0d14-a620-1810-48a3
415,e5bb-b402-ad1e-cb8d
416,2863-93fe-ff62-7b41
417,6ca2-a861-50cb-b02f
418,fa97-a5e3-1896-c2e5
419,1761-802d-4af8-c594
420,f2f7-cd7a-78d2-7f0b
421,96ce-e96c-6243-90fa
422,1e4c-46e8-996c-f2f7
423,a1a7-12d8-53e8-abd6
424,5d42-f489-fc8e-6263
425,9141-2292-7be5-c8b7
426,4cc8-7a19-e037-5eeb
427,ae74-32dc-4291-fb82
428,b32c-707d-1991-3722
429,f253-a9f3-3688-96a7
430,587b-cf2b-5466-f25a
431,e00a-03fe-d978-1a27
432,284d-e19c-6811-6a99
433,9554-47d7-c095-1df7
434,2ead-14dd-aede-6d07
435,8d77-fa93-75df-6ae0
436,9828-4356-ffa4-f544
437,2a84-8168-a68d-adac
438,67f8-8d07-5f59-bdd7
439,8fd4-1c07-b659-3ae7
440,f29c-3e66-5c51-98e8
441,af4e-1838-d667-16e7
442,af4e-1838-d667-16e7
443,e7e5-9b6d-441f-0c33
444,3a44-7b6a-8b5c-d15f
445,2523-8171-1306-a08f
446,182a-86c7-c75d-8968
447,c143-05da-1008-246b
448,965d-4d8b-7777-6434
449,3958-7e86-041d-bb1a
450,49ab-8f49-6ad0-5624
451,609b-acb0-2f70-de90
452,105a-5720-e63b-0413
453,7751-b1fd-0582-4f2a
454,badc-0c72-9633-5872
455,cf2b-eb3d-dfe5-d6d3
456,b8a3-ad63-f3c1-078b
457,a9c3-ee47-606a-10b5
458,9561-5f39-5eec-b7b4
459,2107-bbdb-3936-d0cb
460,a529-d2e9-6c62-5e4a
461,fb78-e6bd-2768-ddb3
462,cc97-f39d-361d-3f59
463,8c71-80c8-0818-62bf
464,b7e0-eb77-1c54-4642
465,f8b7-590f-a416-818a
466,25b1-edcb-f415-853f
467,c80b-ccc9-30c6-8280
468,3d02-90e0-df5d-dd0c
469,0db5-f9d6-7b0f-b515
470,78cc-1fa6-2c47-c30f
471,a7e5-9c96-dcf3-a615
472,d305-cb5d-56ce-018e
473,53c9-c71e-2549-c10e
474,4545-4aa9-5e1e-e204
475,fb09-0269-17fe-9106
476,c8ef-6a8e-579f-4e86
477,063d-b437-ec5f-4fbf
478,e688-0a78-f99a-7687
479,1f45-a351-2610-20e8
480,62a5-1149-2527-8c63
481,95aa-008a-1446-db3b
482,e41b-d750-7c85-52a3
483,3f77-91fb-7f5a-5b33
484,9100-1d1a-b26a-7634
485,2fb0-d5a7-c5bb-eb92
486,3ce9-70b7-6dc1-9e42
487,3976-3829-4098-1312
488,b92e-a887-f644-4d9e
489,1021-0803-058c-48ef
490,0ddf-dd31-cd78-80b4
491,b0a6-629a-a450-e54e
492,95f7-f635-f0ef-b67c
493,c12d-b29a-5073-54ab
494,fec7-efec-ee12-537e
495,4fb5-dbc8-4e35-105d
496,4c9d-d504-1080-1e84
497,affe-fe56-0a7c-ba87
498,2851-a2b0-f5df-dae7
499,462d-e871-6c8b-dd48
500,e9d9-d1ad-bd2f-0776
501,1766-eb05-3dea-6d20
502,9b37-65c8-ea17-fdb3
503,2c00-a6e8-2894-a55a
504,b306-b343-a165-1f3d
505,1f93-a702-d4f5-1d46
506,2b4c-4963-4547-c62d
507,193c-c054-b0e4-69ca
508,fd17-bb78-344b-3880
509,f19b-c42a-1e31-cf13
510,e9db-4122-22ea-1d50
511,274b-e89f-86fa-6446
512,f376-a289-163b-6641
513,3048-dcac-daad-f832
514,0292-28fc-bb45-505e
515,767b-d14d-c5e5-ba84
516,4809-553c-eae1-9b6f
517,33fe-9382-75a8-9316
518,b608-0f73-125d-284d
519,2946-6e9f-c2f8-2575
520,cd5c-7dd8-39d6-a94e
521,8a04-b22c-d916-924f
522,6a9e-f4d8-755c-81d3
523,de1f-14bd-20e6-5573
524,ebe3-0bb2-55b2-6773
525,17f8-d86e-3ed8-29d5
526,5d1e-750b-db59-6c30
527,b8e2-d9bd-975c-3e04
528,2c8c-f87c-fbc1-3fe2
529,34f1-3d2b-ec91-cf61
530,9710-6959-2c34-d204
531,ce72-7053-8df0-6419
532,1c8d-e7b5-32dd-3915
533,8d5f-c046-b209-66c3
534,72ff-2eab-68e0-8a25
535,042f-c182-4483-578d
536,605c-4908-fb48-3ca6
537,ad97-1b6b-97d3-ea4e
538,bcb3-8b5b-ea6d-191c
539,b0a1-ee71-7d0f-1aab
540,3b5e-b61a-38ed-faa2
541,dae7-2f8d-73b1-9520
542,8d4e-d7b3-d5bf-efa7
543,c29b-9a2e-2b75-5efa
544,91c7-ef14-9726-5708
545,8224-9b5f-01f9-ba94
546,efa9-d54e-94fb-7f4e
547,72a4-c6f3-e68c-7836
548,5611-cf44-6cd6-2aed
549,3762-b90b-1f83-4068
550,891a-752f-b9c8-25e1
551,0f0d-2cc5-fcc1-3c1f
552,3dca-07f2-1404-d404
553,34e8-e10d-e464-de1f
554,b3f4-9bbd-487f-8643
555,7dcd-a12c-54b1-a787
556,4730-e0f3-6d20-0e0e
557,a603-7574-10cf-966e
558,31d9-98d7-6a10-9053
559,0b7b-cf23-e64f-4200
560,f59f-261f-52a9-1771
561,1cca-1ac1-5bea-5cf6
562,b018-4375-d391-cb98
563,49f5-727d-92b5-03aa
564,73fa-1e22-26a8-1a7c
565,66df-2200-f730-17c3
566,457d-1a26-5f9e-04e6
567,3bbf-bcf5-c798-f7e7
568,72a7-76e4-7f5d-03ab
569,3e57-14d2-b5aa-9c07
570,c560-8c82-4151-235c
571,7409-4a52-a23a-0c5c
572,7e2e-e161-5c98-444e
573,7c09-899f-1401-2b64
574,a12e-c34a-ab3d-d601
575,ad27-ad14-2ed7-2b55
576,cdb8-46e7-0df7-0a20
577,774b-6b2d-30c6-71c0
578,0025-a087-5991-7f66
579,4dc5-13bf-3c46-af74
580,8341-4d61-aa1c-ffbd
581,8ee7-24ec-255f-d9fe
582,897e-080a-cbfa-6224
583,d10e-17d2-b2db-e326
584,965e-d62d-3e68-c22c
585,fd7f-e7b7-79fa-6ff9
586,26cb-7582-a17c-a0d6
587,2f61-1e65-c812-3feb
588,c323-6873-c26d-4c0b
589,6241-2463-513a-73d8
590,828a-1af1-a7bd-61e8
591,9773-5df7-84db-74b3
592,9fa0-9f6a-3b04-00f8
593,da7d-7594-1856-53a9
594,6757-76c5-8bf9-33b8
595,d4b6-eb95-4bc2-c80f
596,8309-d5c8-048c-7198
597,b7b3-2705-8edd-318a
598,4533-919e-b56d-820b
599,ef93-3430-85b9-d8f0
600,305d-ed38-7824-6cc0
601,7828-f424-7e86-a420
602,330a-482c-2f0d-0d81
603,bebb-ed5a-4b7a-235d
604,d951-095d-6862-917c
605,ba16-9fd4-d675-b0fd
606,a7ea-1134-ae5c-b085
607,2562-da3c-5a61-e440
608,dc88-39d4-99eb-b07d
609,0c89-cc86-5c75-810c
610,e228-46ac-0cee-0559
611,b210-62f3-af10-197e
612,4181-3ee0-c35b-5e30
613,6191-80db-d5e3-b23e
614,159e-ed52-d9e3-76ed
615,123c-6e70-ccd0-1f3d
616,e70b-e515-02a3-8958
617,2e42-1ae7-02c4-eb40
618,aeea-2fd9-666a-930d
619,9bc8-f1da-ee78-f8e5
620,4916-08e1-51ef-8c63
621,967c-c4d5-4455-0e4b
622,5226-28ef-2ae2-0f6e
623,3c4c-8c33-8499-fc99
624,c135-b400-0c92-8c7b
625,8cf3-b5ef-e8a7-1202
626,95aa-eaf8-1c9b-066b
627,7959-4428-d766-0494
628,ba3c-7ba2-c37a-cb76
629,82b3-4291-31b5-2502
630,b493-5d63-c5bb-8ab2
631,052f-26fc-455b-c202
632,02f0-b4ba-41d8-0483
633,1746-191d-7cbb-69c4
634,f5ca-b95b-fd83-47d8
635,3ed4-657f-7748-220b
636,5420-e4ea-f9e9-357a
637,3d6c-d91c-8bd2-a3ca
638,4e04-6bfe-af71-63de
639,70a1-9e7d-18aa-7495
640,d1ac-a510-1958-0100
641,2598-bfbd-71a2-3e8b
642,c1bf-db54-7c40-a799
643,38f5-e7de-0b18-696a
644,aacf-3442-3b46-b964
645,824e-1bf6-29b5-9624
646,5a4c-b508-a1b7-4639
647,2b70-ecb7-15fb-441c
648,6547-5706-4e4b-6323
649,f45b-e36a-7934-50a5
650,aad8-afa8-11f3-d7d7
651,c03d-b40e-6fdb-52e0
652,e216-7a5d-1433-b719
653,b37b-5dfc-64d8-3abb
654,9436-c8e4-c0e1-914f
655,42ae-c748-dc98-8669
656,0d14-c53e-d23c-17d9
657,c43e-7b5f-7d4e-0bdf
658,f461-ef68-36cf-0f91
659,562c-c77b-8ec7-4ab5
660,a4ff-959e-a3ef-5a67
661,dcbe-9523-4529-c54e
662,b124-8e3c-f8ec-e3c5
663,4029-a596-3625-db81
664,f535-7c05-1612-0e99
665,ddd5-9774-f7cb-82f6
666,8dea-02f7-6e65-1e16
667,4a43-f8d5-b9e8-39c8
668,be59-b752-2bd5-629d
669,0e47-2c50-6be2-5375
670,724f-c315-2d06-364b
671,37e1-5b9e-00a1-5e21
672,e215-a276-5a10-38a1
673,2fe0-4073-c775-8925
674,69b4-687c-33bd-2f27
675,7007-3239-2cab-e863
676,66d6-b4c3-4854-2197
677,521a-5b49-3683-2b01
678,e361-414d-74d6-ee0e
679,166f-d4e8-1bed-b031
680,13f7-a730-e457-60bf
681,07c1-be64-120e-f54b
682,735a-963c-130f-059c
683,bee4-7433-0096-8f52
684,3d1b-c195-8dca-4587
685,c130-54eb-43da-154f
686,3449-56cb-7bf5-72be
687,522b-1df0-7e74-363f
688,a1a8-b11b-e127-8797
689,458c-0ba5-e5dd-00b8
690,fcf3-cad2-b199-4da1
691,ebf1-9fe9-324d-b205
692,6a6c-3183-436e-898b
693,d1f5-66f7-d352-a42b
694,d4b3-702a-31e7-3f17
695,ff14-fa19-a544-0cc4
696,2b90-3d2b-39c8-bd3b
697,615c-9023-3957-0501
698,3605-d626-ee3a-e15f
699,7c08-d816-b5ae-fb99
700,eeeb-2d28-4390-8610
701,b332-6003-5331-6516
702,10c6-c21e-e54b-036e
703,7a4e-445e-25de-5994
704,5347-48a6-e352-a6f8
705,b253-7987-ac7d-04e6
706,7560-5c0d-bc49-026c
707,cf16-244b-9e54-f4ee
708,afe8-fef7-01ec-6fbb
709,4048-519e-258b-fc12
710,b743-7732-00bc-dc06
711,edb7-8723-f5ce-c5d8
712,30cb-93b0-59c3-f2e0
713,b44c-810f-461c-c314
714,0887-9c82-3ec7-f2d7
715,97cf-2a2b-0019-aa66
716,d12e-268f-1b21-6879
717,5db0-e85b-34b3-b679
718,0781-1abe-a590-378c
719,1af6-b1e2-ade4-b6af
720,7bc6-352d-2d67-1ca0
721,e7b4-d306-73b9-3098
722,ddca-37d6-9e7b-d216
723,cbc2-6249-b853-4e4b
724,89a0-8211-85bb-2905
725,eee7-145c-8532-ac27
726,1368-7e6c-b1cf-28db
727,d55d-1df7-94a7-708c
728,8d82-d89e-3210-eb99
729,5ede-59cb-d266-b4b0
730,9012-e8ac-14df-5227
731,fb38-2011-8574-1ceb
732,0d2a-34ad-e231-a167
733,cc0c-1716-b089-2d07
734,8a87-904f-85e9-deb5
735,5bfa-ddb1-fcd5-0079
736,e408-b84f-10e9-cf17
737,da2b-fb92-41aa-b359
738,5663-a8e3-1f5e-df3e
739,1a46-09fd-bf55-7001
740,70ac-58d8-10b4-1313
741,0b2c-f8af-7823-d253
742,ac9a-6d31-d96f-51cd
743,182e-6373-acc4-bde3
744,28d3-fb60-bdd3-d10c
745,5086-b21f-9f0a-e67d
746,7056-db73-6d86-2bf1
747,4c25-b5f8-13bf-6b86
748,26a1-5a20-e241-28f1
749,a580-1b9e-6ec9-a275
750,f5e4-ab86-f5de-6a5f
751,ab12-f588-a1af-90a0
752,3740-c11d-832c-96f2
753,0b44-0582-f4ba-58c2
754,ad64-e231-181e-0684
755,c799-dee0-451a-dd60
756,bb63-bcc5-0cd8-72db
757,34b7-df26-54b7-5ad8
758,10ce-c060-90b9-b748
759,2702-7db2-6eb1-e03f
760,5079-3873-b0ab-85a3
761,4a96-2fb6-33e3-a914
762,b2a3-bc18-29f0-d92b
763,440e-272e-8e84-6b1e
764,d3b7-af44-8672-5eeb
765,00a7-56fc-3c22-e6f2
766,b80f-f372-967d-6ac4
767,0c28-b3cd-bb77-d385
768,c7b7-2fdc-e793-309e
769,9097-513f-034b-0454
770,66b8-769e-1915-e8a1
771,d5fd-46c9-0da1-cd27
772,a93c-2971-18d2-ebed
773,3d61-550e-57ae-b045
774,b093-b6c0-74b9-27c2
775,6932-0017-f9ba-bd0e
776,dcb8-493b-65be-44b6
777,9863-d20e-e589-510a
778,3876-3549-b081-abe3
779,8fbd-c9cc-fe18-e80c
780,f8ad-6ff2-e6fa-3dee
781,7cb7-40ac-f4d5-eb6c
782,2526-2b72-2cb0-0beb
783,ac40-1cc5-4994-7922
784,9a54-14e7-f8f4-6375
785,61be-4253-9acc-ea77
786,9821-0c40-6f55-0b6d
787,8c18-8f91-c1ab-742b
788,6cd3-9d8e-f58c-d4fc
789,0de5-48b7-1fb5-acbb
790,fad5-a6d6-cfd6-b9ed
791,c2b0-bd30-2dc8-376e
792,5650-b213-46ea-d9dd
793,93a8-6f1f-f6e7-e5bc
794,74e3-5983-4e66-f53f
795,51b6-c325-850e-8a22
796,ab9f-bddf-b450-6260
797,7ca2-740e-37f4-0a9e
798,4e61-2891-e675-3f88
799,7149-5022-cd2c-b375
800,2913-c482-da7e-b2f6
801,7a02-3c43-f89e-8b50
802,7881-6f75-7de9-2722
803,5639-8136-4788-3ee6
